Card 0 (Item 282):
	Name: KURIBOO
	Tribe: 148
	Sort Value: 296
Card 56 (Item 325):
	Name: PAKKUN_FLOWER
	Icon id: 136
	AnimPose Name: e_pakflwr
	Animation Name: PKF_Z_1
	Name Message: ename_071 (Piranha Plant)
	Description Message: ehelp_071
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 77
	Sort Value: 297
Card 57 (Item 326):
	Name: POISON_PAKKUN
	Icon id: 136
	AnimPose Name: e_pakflwr_p
	Animation Name: PKF_Z_1
	Name Message: ename_073 (Putrid Piranha)
	Description Message: ehelp_073
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 78
	Sort Value: 298
Card 58 (Item 327):
	Name: ICE_PAKKUN
	Icon id: 136
	AnimPose Name: e_pakflwr_i
	Animation Name: PKF_Z_1
	Name Message: ename_076 (Frost Piranha)
	Description Message: ehelp_076
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 80
	Sort Value: 299
Card 59 (Item 328):
	Name: PANSY
	Icon id: 136
	AnimPose Name: e_pansy
	Animation Name: pansy__Z_1
	Name Message: ename_079 (Crazee Dayzee)
	Description Message: ehelp_079
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 115
	Sort Value: 300
Card 60 (Item 329):
	Name: KIRA_PANSY
	Icon id: 138
	AnimPose Name: e_pansy_k
	Animation Name: pansy__k_Z_1
	Name Message: ename_081 (Amazy Dayzee)
	Description Message: ehelp_081
	Buy Price: 500
	Sell Price: 300
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 1
	Card Shop Chance: 1
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 117
	Sort Value: 301
Card 61 (Item 330):
	Name: KIRA_PANSY_BLK
	Icon id: 137
	AnimPose Name: e_pansy_k
	Animation Name: pansy__k_Z_1
	Name Message: ename_308 (Dark Dayzee)
	Description Message: ehelp_308
	Buy Price: 150
	Sell Price: 60
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 2
	Card Shop Chance: 4
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 119
	Sort Value: 302
Card 62 (Item 331):
	Name: CHOROBON
	Icon id: 136
	AnimPose Name: e_chorobon
	Animation Name: CBN_Z_1
	Name Message: ename_085 (Fuzzy)
	Description Message: ehelp_085
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 96
	Sort Value: 303
Card 63 (Item 332):
	Name: FLOWER_CHOROBON
	Icon id: 136
	AnimPose Name: e_chorobon_f
	Animation Name: CBN_Z_1
	Name Message: ename_086 (Pink Fuzzy)
	Description Message: ehelp_086
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 97
	Sort Value: 304
Card 64 (Item 333):
	Name: FLOWER_CHOROBON_BLK
	Icon id: 136
	AnimPose Name: e_chorobon_f
	Animation Name: CBN_Z_1
	Name Message: ename_309 (Dark Fuzzy)
	Description Message: ehelp_309
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 98
	Sort Value: 305
Card 65 (Item 334):
	Name: SAMBO
	Icon id: 136
	AnimPose Name: e_sanbo
	Animation Name: SNB_Z_1
	Name Message: ename_091 (Pokey)
	Description Message: ehelp_091
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 102
	Sort Value: 306
Card 66 (Item 335):
	Name: DOKU_SAMBO
	Icon id: 136
	AnimPose Name: e_sanbo_m
	Animation Name: SNB_Z_1
	Name Message: ename_093 (Poison Pokey)
	Description Message: ehelp_093
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 104
	Sort Value: 307
Card 67 (Item 336):
	Name: DOKU_SAMBO_BLK
	Icon id: 136
	AnimPose Name: e_sanbo_m
	Animation Name: SNB_Z_1
	Name Message: ename_310 (Dark Pokey)
	Description Message: ehelp_310
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 106
	Sort Value: 308
Card 68 (Item 338):
	Name: PUKUPUKU
	Icon id: 136
	AnimPose Name: e_pukupuku_g
	Animation Name: pukupuku_Z_1
	Name Message: ename_097 (Cheep Cheep)
	Description Message: ehelp_097
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 88
	Sort Value: 309
Card 69 (Item 339):
	Name: GESSO
	Icon id: 136
	AnimPose Name: e_gesso
	Animation Name: yari_dancer_Z_1
	Name Message: ename_100 (Blooper)
	Description Message: ehelp_100
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 91
	Sort Value: 310
Card 70 (Item 340):
	Name: FUGUMODOKI
	Icon id: 136
	AnimPose Name: e_hugumodoki
	Animation Name: Z_1
	Name Message: ename_102 (Bittacuda)
	Description Message: ehelp_102
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 33
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 93
	Sort Value: 311
Card 71 (Item 386):
	Name: JYAMAZO
	Icon id: 136
	AnimPose Name: e_card_jyamazo
	Animation Name: Z_1
	Name Message: ename_160 (Jawbus)
	Description Message: ehelp_160
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 21
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 168
	Sort Value: 312
Card 72 (Item 387):
	Name: JYAMAZO_H
	Icon id: 137
	AnimPose Name: e_card_jyama_r
	Animation Name: Z_1
	Name Message: ename_161 (Rawbus)
	Description Message: ehelp_161
	Buy Price: 120
	Sell Price: 48
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 2
	Card Shop Chance: 2
	Card Shop Bonus Seq: 71
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 169
	Sort Value: 313
Card 73 (Item 388):
	Name: JYAMAZO_H_BLK
	Icon id: 136
	AnimPose Name: e_card_jyama_r
	Animation Name: Z_1
	Name Message: ename_326 (Dark Jawbus)
	Description Message: ehelp_326
	Buy Price: 60
	Sell Price: 18
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 171
	Sort Value: 314
Card 74 (Item 389):
	Name: JYAMAZO_W
	Icon id: 136
	AnimPose Name: e_card_jyama_w
	Animation Name: Z_1
	Name Message: ename_162 (Gawbus)
	Description Message: ehelp_162
	Buy Price: 60
	Sell Price: 18
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 81
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 170
	Sort Value: 315
Card 75 (Item 343):
	Name: HANNYA
	Icon id: 136
	AnimPose Name: e_hannya
	Animation Name: Z_1
	Name Message: ename_108 (Spania)
	Description Message: ehelp_108
	Buy Price: 35
	Sell Price: 7
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 113
	Sort Value: 316
Card 76 (Item 344):
	Name: HENNYA_BLK
	Icon id: 136
	AnimPose Name: e_hannya_p
	Animation Name: Z_1
	Name Message: ename_312 (Dark Spania)
	Description Message: ehelp_312
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 114
	Sort Value: 317
Card 77 (Item 345):
	Name: NOROINOROI
	Icon id: 136
	AnimPose Name: e_card_noroi
	Animation Name: Z_1
	Name Message: ename_110 (Cursya)
	Description Message: ehelp_110
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 245
	Sort Value: 318
Card 78 (Item 346):
	Name: NOROINOROI_M
	Icon id: 136
	AnimPose Name: e_card_nri_m
	Animation Name: Z_1
	Name Message: ename_111 (Back Cursya)
	Description Message: ehelp_111
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 246
	Sort Value: 319
Card 79 (Item 347):
	Name: NOROINOROI_P
	Icon id: 136
	AnimPose Name: e_card_nri_p
	Animation Name: Z_1
	Name Message: ename_112 (Tech Cursya)
	Description Message: ehelp_112
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 247
	Sort Value: 320
Card 80 (Item 348):
	Name: NOROINOROI_R
	Icon id: 136
	AnimPose Name: e_card_nri_r
	Animation Name: Z_1
	Name Message: ename_113 (Heavy Cursya)
	Description Message: ehelp_113
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 248
	Sort Value: 321
Card 81 (Item 349):
	Name: NOROINOROI_Y
	Icon id: 136
	AnimPose Name: e_card_nri_y
	Animation Name: Z_1
	Name Message: ename_114 (Reversya Cursya)
	Description Message: ehelp_114
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 249
	Sort Value: 322
Card 82 (Item 350):
	Name: NOROINOROI_BLK
	Icon id: 136
	AnimPose Name: e_card_noroi
	Animation Name: Z_1
	Name Message: ename_313 (Dark Cursya)
	Description Message: ehelp_313
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 250
	Sort Value: 323
Card 83 (Item 351):
	Name: NOROINOROI_P_BLK
	Icon id: 136
	AnimPose Name: e_card_nri_p
	Animation Name: Z_1
	Name Message: ename_315 (Dark Tech Cursya)
	Description Message: ehelp_315
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 251
	Sort Value: 324
Card 84 (Item 352):
	Name: NOROINOROI_R_BLK
	Icon id: 136
	AnimPose Name: e_card_nri_r
	Animation Name: Z_1
	Name Message: ename_316 (Dark Heavy Cursya)
	Description Message: ehelp_316
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 252
	Sort Value: 325
Card 85 (Item 353):
	Name: NOROINOROI_Y_BLK
	Icon id: 136
	AnimPose Name: e_card_nri_y
	Animation Name: Z_1
	Name Message: ename_317 (Dark Reversya Cursya)
	Description Message: ehelp_317
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 253
	Sort Value: 326
Card 86 (Item 337):
	Name: BASABASA
	Icon id: 136
	AnimPose Name: e_basabasa
	Animation Name: Z_1
	Name Message: ename_095 (Swooper)
	Description Message: ehelp_095
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 108
	Sort Value: 327
Card 87 (Item 528):
	Name: CHERIRING
	Icon id: 136
	AnimPose Name: e_cheririn
	Animation Name: Z_1
	Name Message: ename_409 (Cherbil)
	Description Message: ehelp_409
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 440
	Sort Value: 328
Card 88 (Item 529):
	Name: ICE_CHERIRING
	Icon id: 136
	AnimPose Name: e_cheririn_b
	Animation Name: Z_1
	Name Message: ename_410 (Ice Cherbil)
	Description Message: ehelp_410
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 444
	Sort Value: 329
Card 89 (Item 530):
	Name: POISON_CHERIRING
	Icon id: 136
	AnimPose Name: e_cheririn_g
	Animation Name: Z_1
	Name Message: ename_411 (Poison Cherbil)
	Description Message: ehelp_411
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 442
	Sort Value: 330
Card 90 (Item 535):
	Name: KAGE_CHERIRING
	Icon id: 136
	AnimPose Name: e_cheririn
	Animation Name: Z_1
	Name Message: ename_416 (Dark Cherbil)
	Description Message: ehelp_416
	Buy Price: 50
	Sell Price: 15
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 446
	Sort Value: 331
Card 91 (Item 354):
	Name: TERESA
	Icon id: 136
	AnimPose Name: e_teresa
	Animation Name: Z_1
	Name Message: ename_115 (Boo)
	Description Message: ehelp_115
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 84
	Sort Value: 332
Card 92 (Item 355):
	Name: DARK_TERESA
	Icon id: 136
	AnimPose Name: e_teresa_p
	Animation Name: Z_1
	Name Message: ename_116 (Dark Boo)
	Description Message: ehelp_116
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 85
	Sort Value: 333
Card 93 (Item 356):
	Name: DARK_TERESA_BLK
	Icon id: 136
	AnimPose Name: e_teresa_p
	Animation Name: Z_1
	Name Message: ename_318 (Dark Dark Boo)
	Description Message: ehelp_318
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 86
	Sort Value: 334
Card 94 (Item 525):
	Name: ATOMIC_TERESA
	Icon id: 136
	AnimPose Name: e_atmic_trs
	Animation Name: Z_1
	Name Message: ename_406 (Atomic Boo)
	Description Message: ehelp_406
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 31
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 87
	Sort Value: 335
Card 95 (Item 394):
	Name: GUY
	Icon id: 136
	AnimPose Name: e_card_gii1
	Animation Name: Z_1
	Name Message: ename_169 (Growmeba)
	Description Message: ehelp_169
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 21
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 159
	Sort Value: 336
Card 96 (Item 395):
	Name: GUY_M
	Icon id: 136
	AnimPose Name: e_card_gii2
	Animation Name: Z_1
	Name Message: ename_170 (Blomeba)
	Description Message: ehelp_170
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 51
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 160
	Sort Value: 337
Card 97 (Item 396):
	Name: GUY_H
	Icon id: 136
	AnimPose Name: e_card_gii3
	Animation Name: Z_1
	Name Message: ename_171 (Chromeba)
	Description Message: ehelp_171
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 81
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 161
	Sort Value: 338
Card 98 (Item 397):
	Name: GUY_H_BLK
	Icon id: 136
	AnimPose Name: e_card_gii3
	Animation Name: Z_1
	Name Message: ename_328 (Dark Growmeba)
	Description Message: ehelp_328
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 162
	Sort Value: 339
Card 99 (Item 392):
	Name: BIG_EYE
	Icon id: 136
	AnimPose Name: e_card_ome1
	Animation Name: Z_1
	Name Message: ename_165 (Mister I)
	Description Message: ehelp_165
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 21
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 150
	Sort Value: 340
Card 100 (Item 393):
	Name: BIG_EYE_H
	Icon id: 136
	AnimPose Name: e_card_ome2
	Animation Name: Z_1
	Name Message: ename_167 (Red I)
	Description Message: ehelp_167
	Buy Price: 35
	Sell Price: 7
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 81
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 152
	Sort Value: 341
Card 101 (Item 358):
	Name: WANWAN
	Icon id: 136
	AnimPose Name: e_wanwan
	Animation Name: WAZ_Z_1
	Name Message: ename_120 (Chain Chomp)
	Description Message: ehelp_120
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 122
	Sort Value: 342
Card 102 (Item 360):
	Name: RED_WANWAN
	Icon id: 137
	AnimPose Name: e_wanwan_r
	Animation Name: WAZ_Z_1
	Name Message: ename_121 (Red Chomp)
	Description Message: ehelp_121
	Buy Price: 110
	Sell Price: 44
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 4
	Card Shop Chance: 8
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 123
	Sort Value: 343
Card 103 (Item 361):
	Name: WANGWANG_X3
	Icon id: 137
	AnimPose Name: e_card_3wan1
	Animation Name: Z_1
	Name Message: ename_122 (The Underchomp)
	Description Message: ehelp_122
	Buy Price: 160
	Sell Price: 64
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 2
	Card Shop Chance: 2
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 328
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 324
	Sort Value: 344
Card 104 (Item 359):
	Name: WANWAN_BLK
	Icon id: 136
	AnimPose Name: e_wanwan
	Animation Name: WAZ_Z_1
	Name Message: ename_319 (Dark Chomp)
	Description Message: ehelp_319
	Buy Price: 35
	Sell Price: 7
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 124
	Sort Value: 345
Card 105 (Item 362):
	Name: SHINNOSUKE
	Icon id: 136
	AnimPose Name: e_sinnosuke
	Animation Name: SIS_Z_1
	Name Message: ename_128 (Bald Cleft)
	Description Message: ehelp_128
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 99
	Sort Value: 346
Card 106 (Item 363):
	Name: SHINEMON
	Icon id: 136
	AnimPose Name: e_sinemon
	Animation Name: SIN_Z_1
	Name Message: ename_129 (Moon Cleft)
	Description Message: ehelp_129
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 100
	Sort Value: 347
Card 107 (Item 364):
	Name: SHINEMON_BLK
	Icon id: 136
	AnimPose Name: e_sinemon
	Animation Name: SIN_Z_1
	Name Message: ename_320 (Dark Cleft)
	Description Message: ehelp_320
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 101
	Sort Value: 348
Card 108 (Item 365):
	Name: DODON
	Icon id: 136
	AnimPose Name: e_dodon
	Animation Name: Z_1
	Name Message: ename_130 (Shlurp)
	Description Message: ehelp_130
	Buy Price: 35
	Sell Price: 7
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 21
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 156
	Sort Value: 349
Card 109 (Item 366):
	Name: DODON_H
	Icon id: 136
	AnimPose Name: e_dodo2
	Animation Name: Z_1
	Name Message: ename_131 (Shlorp)
	Description Message: ehelp_131
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 51
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 157
	Sort Value: 350
Card 110 (Item 367):
	Name: DODON_H_BLK
	Icon id: 136
	AnimPose Name: e_dodo2
	Animation Name: Z_1
	Name Message: ename_321 (Dark Shlurp)
	Description Message: ehelp_321
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 158
	Sort Value: 351
Card 111 (Item 368):
	Name: DOSSUN
	Icon id: 137
	AnimPose Name: e_dossun
	Animation Name: dossun_Z_1
	Name Message: ename_132 (Thwomp)
	Description Message: ehelp_132
	Buy Price: 90
	Sell Price: 36
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 2
	Card Shop Chance: 2
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 265
	Sort Value: 352
Card 112 (Item 369):
	Name: GORON
	Icon id: 137
	AnimPose Name: e_goron
	Animation Name: yari_dancer_Z_1
